Item	Group	Price, KZT	Volume
Efes Pilsener	Draft beer	1 600	0.5 l
Efes Pilsener	Draft beer	1 100	300 ml
Beliy Medved	Bottled beer	900	500ml
Miller Genuine Draft	Bottled beer	1,700	0.33 l
Kozel Dark	Bottled beer	1,900	0.5 l
Velkopopovicky Kozel	Bottled beer	1,900	0.5 l
Khmelnoy Los	Cans	1000	0.45 l
Zhigulevskoe	Bottled beer	850	0.5 l
Legenda 777	Draft beer	1 700	0,5
13 region	Draft beer	1 500	0,5
Severnoe Siyanie	Draft beer	1 600	0,5
Bochkovoe	Draft beer	1 600	0,5
Stary Melnik iz bochonka	Draft beer	1 750	0,5
Bavaria	Bottled beer	1 500	0,5
Karagandinskoe	Bottled beer	900	0,5
Kruzhka Svezhego	Bottled beer	950	0,5
Bremen von Lustig	Bottled beer	1 300	0,5
Wukong Ju	Bottled beer	1 800	0,33
Slavna Praga	Bottled beer	1 100	0,5
Corona Extra	Bottled beer	2 500	0,33
Shashlik (lamb)	Grill	3 900	250 g
Ribeye steak	Grill	8 900	300 g
Buffalo wings	Grill	2 600	300 g
BBQ ribs	Grill	5 200	400 g
Bratwurst	Grill	3 400	300 g
Burger classic	Burgers	3 600	350 g
Mac and cheese	Mains	2 400	300 g
Nachos	Snacks	2 200	350 g
Pretzel	Snacks	1 200	150 g
Beshbarmak	Kazakh	4 200	400 g
Plov	Kazakh	2 800	400 g
Manty (5 pcs)	Kazakh	2 400	350 g
Pizza Margherita	Pizza	3 200	450 g
Tiramisu	Desserts	1 900	120 g
Apple pie	Desserts	1 500	150 g
Caesar salad	Salads	2 900	250 g
French fries	Snacks	N/A	150 g
Garlic bread	Snacks	-1200	150 g
	Snacks	500	
Sample data — Flavor Tree demo (not a real venue)			
