Прейскурант от 18.09.2026;;;
Sample Bar Almaty (демо-данные Flavor Tree);;;
;;;
Наименование;Цена, тг;Выход;Ед. изм.
ПИВО РАЗЛИВНОЕ;;;
Северное Сияние;1 600,00;0,5;л
Легенда 777;1 700,00;0,5;л
13 регион;1 500,00;0,5;л
Бочковое;1 600,00;0,5;л
Старый мельник из бочонка;1 750,00;0,5;л
Kozel светлое;1 900,00;0,5;л
Kozel тёмное;1 900,00;0,5;л
ПИВО БУТЫЛОЧНОЕ;;;
Efes Pilsener;1 400,00;0,45;л
Efes Pilsener;1 200,00;0,33;л
Miller Genuine Draft;1 700,00;0,33;л
Бавария;1 500,00;0,5;л
Белый Медведь;900,00;0,5;л
Хмельной Лось (ж/б);1 000,00;0,45;л
Guinness;3 200,00;0,44;л
Жигулёвское;850,00;0,5;л
Карагандинское;900,00;0,5;л
Кружка Свежего;950,00;0,5;л
Bremen von Lustig;1 300,00;0,5;л
Wukong Ju;1 800,00;0,33;л
Slavna Прага;1 100,00;0,5;л
ГРИЛЬ;;;
Шашлык из баранины;3 900,00;250;г
Шашлык из курицы;2 900,00;250;г
Люля-кебаб;3 200,00;200;г
Стейк Рибай;8 900,00;300;г
Рёбрышки BBQ;5 200,00;400;г
Крылышки Баффало;2 600,00;300;г
Колбаски гриль;3 400,00;300;г
ЗАКУСКИ К ПИВУ;;;
Начос с сыром;2 200,00;350;г
Брецель;1 200,00;150;г
Сырные палочки;1 800,00;200;г
Картофель фри;1 200,00;150;г
"Мясное ассорти ""Жети-ас""";4 500,00;300;г
Квашеная капуста;900,00;200;г
КАЗАХСКАЯ КУХНЯ;;;
Бешбармак;4 200,00;400;г
"Манты ""с мясом""; 5 шт";2 400,00;350;г
Казы;3 800,00;150;г
Баурсаки;900,00;6;шт
Самса с говядиной;700,00;120;г
Куырдак;3 600,00;300;г
Плов;2 800,00;400;г
ГОРЯЧЕЕ;;;
Бургер классический;3 600,00;350;г
Цезарь с курицей;2 900,00;250;г
Паста Карбонара;2 700,00;300;г
Пицца Маргарита;3 200,00;450;г
Пицца Пепперони;3 800,00;450;г
Лазанья;2 900,00;320;г
ДЕСЕРТЫ;;;
Тирамису;1 900,00;120;г
Штрудель яблочный;1 700,00;150;г
Чизкейк;1 900,00;130;г
;1 000,00;;
Итого позиций: 52;;;
