brand_name,dish_name,compatibility_score,pairing_type,explanation
Кружка Свежего,Баурсаки,3,COMPLEMENT,"Нейтральный вкус выпечки не спорит с простым лагерным профилем"
Кружка Свежего,Куырдак,4,CONTRAST,"Свежесть пива освежает жирность жареных потрохов"
Кружка Свежего,Брускетта,3,COMPLEMENT,"Лёгкая свежесть пива сочетается с кисло-свежей закуской"
Белый Медведь,Манты,4,COMPLEMENT,"Зерновые ноты пива вторят нейтральному тесту на пару"
Белый Медведь,Шашлык,3,CONTRAST,"Умеренная горечь смягчает дымность гриля"
Белый Медведь,Эдамаме,3,COMPLEMENT,"Простой чистый профиль не перебивает лёгкую закуску"
Efes Pilsener,Казы,5,CONTRAST,"Высокая base-горечь пильзнера режет жирность вяленого мяса"
Efes Pilsener,Пицца Маргарита,4,CONTRAST,"Хмелевая горчинка режет сырную жирность"
Efes Pilsener,Темпура,4,CLEANSE,"Горечь и карбонизация освежают после жареного жирного блюда"
Miller Genuine Draft,Суши (нигири),4,COMPLEMENT,"Лёгкий чистый профиль не перебивает деликатный вкус рыбы"
Miller Genuine Draft,Эдамаме,4,COMPLEMENT,"Лёгкость пива сочетается с лёгкостью закуски"
Miller Genuine Draft,Гуакамоле,3,CLEANSE,"Чистый финиш освежает после жирного авокадо"
Velkopopovický Kozel,Бешбармак,5,COMPLEMENT,"Плотная солодовая база отзеркаливает умами варёного мяса"
Velkopopovický Kozel,Шницель,4,COMPLEMENT,"Солодовая плотность держит вес жареного мяса в панировке"
Velkopopovický Kozel,Картофельный салат,3,COMPLEMENT,"Солодовая сладость сочетается с картофельной основой"
Bremen von Lustig,Братвурст (сосиски),4,BRIDGE,"Немецкий стиль пива и сосисок, хмель режет жирность"
Bremen von Lustig,Начос,4,CONTRAST,"Хмелевая горчинка балансирует соль и жир"
Bremen von Lustig,Кесадилья,3,CONTRAST,"Горечь смягчает сырную тяжесть"
Bavaria,Курт,3,COMPLEMENT,"Мягкая горечь не спорит с кисломолочной кислинкой"
Bavaria,Иримшик,3,COMPLEMENT,"Мягкий профиль не конфликтует с творожной кислинкой"
Bavaria,Брецель,4,COMPLEMENT,"Классика: нейтральная соль хорошо держит баланс с мягким лагером"
Wùkōng Jū (悟空居),Суши (нигири),5,COMPLEMENT,"Рисовое пиво и рис в суши — родственные лёгкие текстуры"
Wùkōng Jū (悟空居),Моти,4,COMPLEMENT,"Рисовые ноты пива вторят рисовому десерту"
Wùkōng Jū (悟空居),Темпура,3,COMPLEMENT,"Лёгкость пива держит баланс с некрупным жареным блюдом"
Карагандинское,Шницель,3,CONTRAST,"Горечь пива уравновешивает жареную панировку"
Карагандинское,Куырдак,4,CONTRAST,"Горечь пива уравновешивает жирность потрохов"
Карагандинское,Тако,3,CLEANSE,"Лёгкая горечь освежает после остроты"
Slavna ПРАГА,Самса,4,COMPLEMENT,"Солодовая сладость сусла вторит запечённому тесту с мясом"
Slavna ПРАГА,Штрудель,3,COMPLEMENT,"Тонкая сладость послевкусия перекликается с десертом"
Slavna ПРАГА,Лазанья,4,COMPLEMENT,"Солодовая сладость перекликается с насыщенным сырным вкусом"
Жигулевское,Баурсаки,3,COMPLEMENT,"Нейтральный лагерный профиль подходит нейтральной выпечке"
Жигулевское,Шашлык,4,COMPLEMENT,"Классическое сочетание лагера и шашлыка"
Жигулевское,Бургер,3,CONTRAST,"Горечь смягчает жирность котлеты"
Хмельной Лось,Бургер,4,COMPLEMENT,"Высокое тело пива держит вес жирного бургера"
Хмельной Лось,Рёбрышки BBQ,5,COMPLEMENT,"Крепкое тело пива держит насыщенный сладко-солёный вкус рёбер"
Хмельной Лось,Чили кон карне,4,COMPLEMENT,"Плотность пива подходит острому тяжёлому блюду"
Северное Сияние,Манты,4,COMPLEMENT,"Умеренный профиль сочетается с нейтральным паровым блюдом"
Северное Сияние,Тонкацу,3,CLEANSE,"Свежий финиш освежает после жареной панировки"
Северное Сияние,Капрезе,3,COMPLEMENT,"Свежесть пива вторит свежести салата"
Легенда 777,Штрудель,4,BRIDGE,"Карамельная нота пива в тон карамельно-яблочному десерту"
Легенда 777,Рёбрышки BBQ,4,COMPLEMENT,"Карамельная сладость пива под сладко-острый соус BBQ"
Легенда 777,Тирамису,3,BRIDGE,"Карамельные ноты пива перекликаются с десертом"
13 регион,Начос,3,CLEANSE,"Лёгкая карбонизация освежает после соли и жира"
13 регион,Буррито,3,CLEANSE,"Лёгкость освежает после плотного острого блюда"
13 регион,Гуакамоле,3,CLEANSE,"Свежесть пива режет жирность авокадо"
Старый мельник (из бочонка),Шашлык,4,BRIDGE,"Kettle hop-нота перекликается с дымным ароматом гриля"
Старый мельник (из бочонка),Якитори,4,BRIDGE,"Хмелевой аромат перекликается с дымным грилем"
Старый мельник (из бочонка),Карривурст,4,CONTRAST,"Горечь смягчает остроту карри-соуса"
Бочковое,Тако,4,CLEANSE,"Мягкая свежесть гасит остроту, не спорит с ней"
Бочковое,Энчилада,3,CLEANSE,"Мягкость освежает остроту"
Бочковое,Ризотто,3,COMPLEMENT,"Мягкий хмель не спорит с кремовым умами ризотто"
