name,brand_owner,style,abv,packaging_type,is_horeca_only,description
Кружка Свежего,,Lager (draft-style),,BOTTLE,False,"Разливное пиво в бутылочном формате, сваренное по классическому рецепту"
Белый Медведь,Efes Kazakhstan,Lager,,BOTTLE,False,"Локальное производство с 2007 г. на алматинском заводе Efes Kazakhstan"
Efes Pilsener,Efes Beer Group,Pilsner,5.0,BOTTLE,False,"Флагманская марка Efes Beer Group"
Miller Genuine Draft,Miller,American Lager,,BOTTLE,False,"Одна из самых популярных марок на рынке США"
Velkopopovický Kozel,Kozel,Czech Lager,,BOTTLE,False,"Чешское пиво №1 в мире, продаётся в 37 странах"
Bremen von Lustig,,German-style Lager,,BOTTLE,False,"Яркий искрящийся вкус с горчинкой и хмелевым послевкусием"
Bavaria,Bavaria,Holland Lager,,BOTTLE,False,"Существует с 1719 года, продаётся в 120+ странах"
Wùkōng Jū (悟空居),,Rice Beer,,BOTTLE,False,"Сбалансированное рисовое пиво"
Карагандинское,,Lager,,BOTTLE,False,"История казахстанского пивоварения + современный характер"
Slavna ПРАГА,,Pale Lager,,BOTTLE,False,"Золотистый цвет, баланс хмеля и солода, нотки сладости сусла"
Жигулевское,,Classic Lager,,BOTTLE,False,"Лёгкий и хорошо знакомый вкус"
Хмельной Лось,,Strong Lager,7.3,CAN,False,"Крепкое пиво для раскрытия «внутреннего философа»"
Северное Сияние,,Premium Lager,,DRAFT,True,"Освежающий лагер, натуральные ингредиенты премиум-класса"
Легенда 777,Efes,Amber Lager,,DRAFT,True,"Свежий янтарный напиток высокого качества"
13 регион,,Lager,,DRAFT,True,"Свежее пиво для настоящих южан"
Старый мельник (из бочонка),,Lager,,DRAFT,True,"Три сорта хмеля в три этапа для баланса горечи, аромата, мягкости"
Бочковое,,Draft Lager,,DRAFT,True,"Лёгкий насыщенный напиток с мягким хмелевым вкусом"
