# демо-данные Flavor Tree: вымышленный бар, Алматы
Название,Категория,Цена,Себестоимость,Выход
"Efes Pilsener 0,5",Пиво разливное,1600.00,640.00,0
"Efes Pilsener 0,3",Пиво разливное,1100.00,420.00,0
🍺 Kozel 0.5,Пиво бутылочное,1900.00,900.00,0
Kozel Dark 0.5,Пиво бутылочное,1900.00,900.00,0
Miller Genuine Draft 0.33,Пиво бутылочное,1700.00,800.00,0
Бавария 0.5,Пиво бутылочное,1500.00,700.00,0
Белый Медведь 0.5,Пиво бутылочное,900.00,400.00,0
Хмельной Лось 0.45,Пиво бутылочное,1000.00,450.00,0
Жигулёвское 0.5,Пиво бутылочное,850.00,380.00,0
Легенда 777 0.5,Пиво разливное,1700.00,700.00,0
Северное Сияние 0.5,Пиво разливное,1600.00,650.00,0
13 регион 0.5,Пиво разливное,1500.00,600.00,0
Бочковое 0.5,Пиво разливное,1600.00,650.00,0
Старый Мельник 0.5,Пиво разливное,1750.00,700.00,0
Heineken 0.33,Пиво бутылочное,2100.00,1100.00,0
"Бургер ""Классик"", с картофелем фри",Бургеры,3600.00,1500.00,450
Чизбургер,Бургеры,3800.00,1600.00,370
Шашлык из баранины,Гриль,3900.00,1900.00,250
Стейк Рибай,Гриль,8900.00,4800.00,300
Крылышки Баффало,Гриль,2600.00,1000.00,300
Рёбрышки BBQ,Гриль,5200.00,2400.00,400
Колбаски гриль ассорти,Гриль,3400.00,1500.00,300
Начос с сыром,Закуски,2200.00,700.00,350
Брецель,Закуски,1200.00,300.00,150
Картофель фри,Закуски,1200.00,300.00,150
Гренки чесночные,Закуски,1200.00,300.00,150
Қазы,Казахская кухня,3800.00,2200.00,150
Бауырсақ,Казахская кухня,900.00,200.00,150
Бешбармак,Казахская кухня,4200.00,2000.00,400
Манты,Казахская кухня,2400.00,900.00,350
Куырдак,Казахская кухня,3600.00,1700.00,300
Пицца Маргарита,Пицца,3200.00,1000.00,450
Паста Карбонара,Паста,2700.00,900.00,300
Тирамису,Десерты,1900.00,600.00,120
Штрудель яблочный,Десерты,1700.00,500.00,150
Маргарита,Коктейли,2500.00,800.00,250
Айран,Напитки,500.00,150.00,300
Кофе американо,Напитки,900.00,150.00,200
