name,cuisine,category,dominant_taste,weight,fat_level,cooking_method,description
Бешбармак,KZ,Мясное,UMAMI,HEAVY,HIGH,BOILED,"Традиционное главное блюдо казахской кухни из нежного отварного мяса и тонко раскатанного сочня в насыщенном бульоне сорпа"
Казы,KZ,Мясное (конская колбаса),SALTY,HEAVY,HIGH,CURED,"Деликатесная сыровяленая и вареная конская колбаса с благородным ароматом чеснока и черного перца"
Шужык,KZ,Мясное (колбаса),SALTY,HEAVY,HIGH,CURED,"Традиционная сытная домашняя колбаса из конины с плотной текстурой"
Куырдак,KZ,Мясное (жареные потроха),UMAMI,HEAVY,HIGH,FRIED,"Ароматное горячее жаркое из печени, сердца, почек и мяса с золотистым луком и картофелем"
Жая,KZ,Мясное (вяленое),SALTY,HEAVY,HIGH,CURED,"Вяленая и копченая тазобедренная часть конины с насыщенным мясным вкусом"
Шашлык,KZ,Мясное (гриль),UMAMI,HEAVY,MEDIUM,GRILLED,"Сочное мясо, замаринованное со специями и обжаренное на раскаленных углях саксаула"
Плов,KZ,Мясное с рисом,UMAMI,HEAVY,MEDIUM,BOILED,"Праздничный плов с бараниной, отборным рисом лазер, сладкой желтой морковью, зирой и барбарисом"
Курт,KZ,Молочное (сушёный сыр),SOUR,LIGHT,LOW,OTHER,"Традиционный солено-кислый сушеный кисломолочный шарик, идеальный компаньон к прохладному лагеру"
Иримшик,KZ,Молочное (творог),SWEET,LIGHT,LOW,OTHER,"Сладковато-карамельный сушеный творог из топленого молока"
Айран,KZ,Молочное (напиток),SOUR,LIGHT,LOW,FERMENTED,"Освежающий кисломолочный напиток, отлично утоляющий жажду"
Кумыс,KZ,Молочное (напиток),SOUR,LIGHT,LOW,FERMENTED,"Натуральное ферментированное кобылье молоко с характерной бодрящей кислинкой и покалывающей газацией"
Баурсаки,KZ,Тестовое,MIXED,MEDIUM,MEDIUM,FRIED,"Воздушные золотистые подушечки из дрожжевого теста, обжаренные в кипящем масле"
Самса,KZ,Тестовое (с мясом),UMAMI,HEAVY,MEDIUM,BAKED,"Хрустящая слоеная самса из тандыра с сочной мясной начинкой и луком"
Манты,KZ,Тестовое (на пару),UMAMI,HEAVY,MEDIUM,STEAMED,"Нежные паровые манты с рубленым мясом, луком и тыквой в тончайшем тесте"
Жети-ас (мясная нарезка),KZ,Закуска/ассорти,SALTY,HEAVY,HIGH,CURED,"Богатое ассорти традиционных мясных деликатесов: казы, жая, карта, жал"
Пицца Маргарита,ITALIAN,Пицца,UMAMI,MEDIUM,MEDIUM,BAKED,"Классическая неаполитанская пицца с томатным соусом Сан-Марцано, сливочной моцареллой и свежим базиликом"
Паста Карбонара,ITALIAN,Паста,UMAMI,HEAVY,HIGH,BOILED,"Римская классика с хрустящим гуанчиале, яичным желтком и пикантным сыром Пекорино Романо"
Брускетта,ITALIAN,Закуска,SOUR,LIGHT,LOW,BAKED,"Хрустящая поджаренная чиабатта с сочными томатами, чесноком, оливковым маслом первого отжима и базиликом"
Лазанья,ITALIAN,Паста/Запеканка,UMAMI,HEAVY,HIGH,BAKED,"Слои пасты с густым мясным соусом Болоньезе, шелковистым Бешамелем и корочкой из пармезана"
Ризотто,ITALIAN,Рис,UMAMI,MEDIUM,MEDIUM,BOILED,"Кремовое ризотто из риса карнароли на белом вине со сливочным маслом и пармезаном"
Тирамису,ITALIAN,Десерт,SWEET,MEDIUM,MEDIUM,OTHER,"Изысканный десерт на основе печенья савоярди, пропитанного эспрессо, и нежнейшего крема маскарпоне"
Капрезе,ITALIAN,Салат/Закуска,SOUR,LIGHT,LOW,RAW,"Свежие ломтики спелых томатов и мягкой моцареллы фиор ди латте с песто и оливковым маслом"
Суши (нигири),JAPANESE,Суши,UMAMI,LIGHT,LOW,RAW,"Классические нигири со свежим лососем и тунцом на рисе с легкой заправкой рисовым уксусом"
Рамен,JAPANESE,Суп/Лапша,UMAMI,HEAVY,MEDIUM,BOILED,"Наваристый японский суп с упругой пшеничной лапшой, нежной свининой тясю, маринованным яйцом азитама и нори"
Эдамаме,JAPANESE,Закуска,SALTY,LIGHT,LOW,BOILED,"Молодые стручки соевых бобов на пару, посыпанные крупной морской солью"
Темпура,JAPANESE,Горячее/Закуска,UMAMI,MEDIUM,HIGH,FRIED,"Тигровые креветки и сезонные овощи в невесомом хрустящем кляре с соусом тэнцую"
